label,kind,selection_score,passes_is_preservation,dev_return_pct,dev_trades,dev_pf,dev_exp_r,dev_exit_eff,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_exp_r,oos_exit_eff,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
ablate_strategy_active_cumulative_to_base__trend__setup.strict_orderly_pullback,ablation,91.91951605206687,False,55.146644381875696,59.0,2.8682435559121444,0.38039934179758217,0.5099957392041647,8.801300120646198,21.58694270950259,61.0,1.5151933579625312,0.20262902106538708,0.4408470418763449,9.290139541208223,-11.50832198893226,14.0,-12.152556209754085,22.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml). aliases=perturb_strategy_active_cumulative__trend__setup.strict_orderly_pullback__False
ablate_strategy_active_cumulative_to_base__trend__setup.pullback_max_bars,ablation,90.57268319880615,True,120.04649502817215,72.0,4.191925495157378,0.4821828038233297,0.5264310558742086,6.124351759181958,9.813773775976646,65.0,1.2539066597992004,0.10599905506774608,0.38115718542452753,9.681085329141428,53.39152865736419,27.0,-23.92572514328003,26.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
ablate_strategy_to_round1__trend__setup.pullback_max_bars,ablation,89.30251918248712,True,128.53862988255682,73.0,4.356901716971498,0.49414840793258563,0.5281795244850519,6.124351759181958,5.769234125322866,66.0,1.1463936169917488,0.09028416032456589,0.38115718542452753,9.681085329141428,61.883663511748864,28.0,-27.970264793933808,27.0,Revert one cumulative accepted strategy field to round 1. aliases=ablate_strategy_to_round2__trend__setup.pullback_max_bars
ablate_strategy_shadowed_to_round1__momentum__symbol_filter.sol_direction,ablation,85.94398618162722,True,80.34678139538643,47.0,8.605299049526115,0.5940608349784589,0.5059049401709869,3.846207393448526,29.91751817820084,50.0,2.0224150029038066,0.24668872703995512,0.4248496837442459,7.747930530936804,13.691815024578474,2.0,-3.8219807410558353,11.0,"Remove portfolio override and revert embedded strategy field to round 1. aliases=ablate_strategy_to_round2__momentum__symbol_filter.sol_direction,perturb_strategy__momentum__symbol_filter.sol_direction__both"
targeted_momentum_sol_both,targeted,85.94398618162722,True,80.34678139538643,47.0,8.605299049526115,0.5940608349784589,0.5059049401709869,3.846207393448526,29.91751817820084,50.0,2.0224150029038066,0.24668872703995512,0.4248496837442459,7.747930530936804,13.691815024578474,2.0,-3.8219807410558353,11.0,Targeted OOS repair probe.
checkpoint_trend_round_2_others_current,checkpoint,85.86241624137135,True,129.78993370305122,73.0,4.383599464509216,0.4967435112288484,0.5310493998135741,6.124351759181958,4.228403448462253,64.0,1.113968902096922,0.08445981738591032,0.37513746488432204,10.274019066128814,63.134967332243264,28.0,-29.511095470794423,25.0,
ablate_strategy_round_3__trend,ablation,85.86241624137135,True,129.78993370305122,73.0,4.383599464509216,0.4967435112288484,0.5310493998135741,6.124351759181958,4.228403448462253,64.0,1.113968902096922,0.08445981738591032,0.37513746488432204,10.274019066128814,63.134967332243264,28.0,-29.511095470794423,25.0,Revert all fields introduced or changed by strategy round 3.
checkpoint_trend_round_1_others_current,checkpoint,85.78791732454515,True,114.94530570558545,72.0,4.508417337970814,0.4936868124363707,0.5297346988902362,5.777998250866991,4.992561109149406,64.0,1.1385513278361714,0.05636300634989554,0.41272349456388485,12.326315990558246,48.2903393347775,27.0,-28.74693781010727,25.0,
ablate_strategy_all_to_round1__trend,ablation,85.78791732454515,True,114.94530570558545,72.0,4.508417337970814,0.4936868124363707,0.5297346988902362,5.777998250866991,4.992561109149406,64.0,1.1385513278361714,0.05636300634989554,0.41272349456388485,12.326315990558246,48.2903393347775,27.0,-28.74693781010727,25.0,Revert all known accepted cumulative fields for this strategy.
perturb_strategy_active_cumulative__trend__setup.orderly_max_body_frac__1.08,perturbation,85.14691615132242,True,65.483233276425,46.0,5.941174961155169,0.5095261598863935,0.5016298044946584,3.846207393448526,40.101634853955645,43.0,2.6457917764117185,0.33636195397339697,0.43192719632697807,5.42104513484111,-1.171733094382958,1.0,6.362135934698969,4.0,Perturb active cumulative strategy diff versus pre-round baseline.
ablate_portfolio_field__strategy.momentum.symbol_filter.sol_direction,ablation,81.2442718705559,True,73.98430325253331,43.0,8.662260339267393,0.6018410054013734,0.512769888061571,3.846207393448526,31.967529607989476,44.0,2.4200304070703913,0.30113590291224335,0.42468688755013695,7.747930530936857,7.329336881725354,-2.0,-1.771969311267199,5.0,Remove current policy key strategy.momentum.symbol_filter.sol_direction. aliases=ablate_portfolio_phase_1
targeted_momentum_sol_long_only,targeted,81.2442718705559,True,73.98430325253331,43.0,8.662260339267393,0.6018410054013734,0.512769888061571,3.846207393448526,31.967529607989476,44.0,2.4200304070703913,0.30113590291224335,0.42468688755013695,7.747930530936857,7.329336881725354,-2.0,-1.771969311267199,5.0,Targeted OOS repair probe.
targeted_pair_mom_sol_long_breakout_sol_long,targeted,81.0942718705559,False,70.8130039829855,42.0,8.355734487690478,0.588881509608395,0.5063644076830007,3.846207393448526,31.967529607989476,44.0,2.4200304070703913,0.30113590291224335,0.42468688755013695,7.747930530936857,4.1580376121775515,-3.0,-1.771969311267199,5.0,Targeted combination after OOS cohort review.
ablate_strategy_active_cumulative_to_base__trend__setup.min_room_r,ablation,80.17135756012814,False,40.87512946684437,60.0,2.515942883213276,0.2915077077163879,0.4536453838929451,6.499289115877673,26.991915024792252,51.0,1.8029655879722888,0.22085756958778624,0.4292396247053178,6.9359607268290615,-25.779836903963584,15.0,-6.747583894464423,12.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
perturb_strategy_active_cumulative__trend__setup.min_setup_score_b__1.08,perturbation,78.65836539447945,True,66.48514857099583,47.0,6.256610801668099,0.5032679410653986,0.4845621474118812,3.846207393448526,33.29636267564434,41.0,2.49260617085045,0.32083176194202095,0.4113673608043628,5.421045134841032,-0.16981779981212242,2.0,-0.4431362436123365,2.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy_active_cumulative__trend__setup.min_setup_score_b__1.215,perturbation,78.65836539447945,True,66.48514857099583,47.0,6.256610801668099,0.5032679410653986,0.4845621474118812,3.846207393448526,33.29636267564434,41.0,2.49260617085045,0.32083176194202095,0.4113673608043628,5.421045134841032,-0.16981779981212242,2.0,-0.4431362436123365,2.0,Perturb active cumulative strategy diff versus pre-round baseline.
ablate_strategy_active_cumulative_to_base__trend__setup.use_weighted_confluence,ablation,78.12083413548577,False,61.46731007583952,48.0,4.728813164343341,0.4702954992409811,0.4845621474118812,5.183267413845664,33.29636267564434,41.0,2.49260617085045,0.32083176194202095,0.4113673608043628,5.421045134841032,-5.187656294968434,3.0,-0.4431362436123365,2.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml). aliases=perturb_strategy_active_cumulative__trend__setup.use_weighted_confluence__False
perturb_strategy__momentum__risk.risk_pct_b__0.018,perturbation,78.01033682434968,True,72.35016036878035,45.0,6.092577606571448,0.5264376460104578,0.5016298044946584,3.846207393448526,36.555864507941,39.0,2.4305216726489047,0.3400756236156312,0.42895017916941286,5.688647630100268,5.695193997972396,0.0,2.8163655886843273,0.0,Perturb accepted cumulative strategy field.
perturb_risk_all_1.25,perturbation,77.93918967830541,True,70.26347199980333,45.0,6.2106605527261625,0.5264376460104578,0.5016298044946584,3.901403566703282,36.04360616148732,39.0,2.523012686240192,0.3400756236156312,0.42895017916941286,5.67603658303522,3.608505628995374,0.0,2.304107242230643,0.0,
targeted_breakout_eth_long_only,targeted,77.92856105085886,False,64.0977657705991,44.0,6.197079887687594,0.5263234512446924,0.49980759188315865,3.8462073934485357,36.3337229073121,38.0,2.849061125757956,0.36527874809603694,0.42895017916941286,4.647685466035636,-2.5572006002088585,-1.0,2.5942239880554254,-1.0,Targeted OOS repair probe.
perturb_strategy__momentum__trail.trail_activation_bars__8,perturbation,77.8807362764578,True,66.68945071677037,45.0,6.341548124494364,0.5266971907388142,0.5016298044946584,3.846207393448526,34.903481495800605,39.0,2.6688370439530997,0.3522956355917389,0.4288980064771787,5.421045134841164,0.03448434596241157,0.0,1.1639825765439298,0.0,Perturb accepted cumulative strategy field.
ablate_strategy_active_cumulative_to_base__trend__setup.min_setup_score_a,ablation,77.69559972686949,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,35.2702455292489,39.0,2.5945578685818362,0.3400756236156312,0.42895017916941286,5.421045134841137,0.0,0.0,1.530746609992228,0.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
perturb_strategy_active_cumulative__trend__setup.min_setup_score_a__2.255,perturbation,77.69559972686949,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,35.2702455292489,39.0,2.5945578685818362,0.3400756236156312,0.42895017916941286,5.421045134841137,0.0,0.0,1.530746609992228,0.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy_active_cumulative__trend__setup.min_setup_score_a__2.46,perturbation,77.69559972686949,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,35.2702455292489,39.0,2.5945578685818362,0.3400756236156312,0.42895017916941286,5.421045134841137,0.0,0.0,1.530746609992228,0.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy_active_cumulative__breakout__setup.body_ratio_min__0.715,perturbation,77.6631092831251,True,67.54097537367738,45.0,6.658937596723278,0.5264376460104578,0.5016298044946584,3.846207393448526,35.86667551618166,38.0,2.8273770296528027,0.36527874809603694,0.42895017916941286,4.647685466035636,0.8860090028694287,0.0,2.1271765969249827,-1.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy_active_cumulative__trend__setup.min_room_r__1.35,perturbation,77.61575787506683,False,51.960413898990545,49.0,3.660134476997244,0.4175869429474872,0.46652364067810004,6.541205183974684,29.454408401223237,45.0,2.109453864527821,0.2699198022090584,0.4198727480213893,5.901218326430161,-14.69455247181741,4.0,-4.285090518033439,6.0,Perturb active cumulative strategy diff versus pre-round baseline.
ablate_strategy_active_cumulative_to_base__trend__regime.b_adx_rising_required,ablation,77.56671368860506,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,33.259961352400246,40.0,2.512100287654563,0.3284740242831008,0.4289501791694129,5.421045134841091,0.0,0.0,-0.479537566856429,1.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml). aliases=perturb_strategy_active_cumulative__trend__regime.b_adx_rising_required__False
