label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
extended_body108_breakbody0715_momrisk_0.02,extended,92.47331102648899,True,True,76.6304441627448,45.0,6.118304593049222,3.846207393448526,56.01741782006767,40.0,3.3016397179171246,5.65940971159609,9.97547779193684,0.0,22.277918900810995,1.0,
extended_body108_momrisk020_riskall_1.2,extended,91.22957645222766,True,True,83.40196856205947,45.0,8.415781939296327,3.901403566703279,55.65487688400873,41.0,2.997946499036617,6.05298054162166,16.74700219125151,0.0,21.915377964752054,2.0,
extended_body108_scorea250_breakbody0715_momrisk020_riskall_1.2,extended,90.59894118335397,True,True,70.90624318191176,44.0,5.6194588665596665,3.901403566703279,56.128198588025,39.0,3.3112055615156955,7.376902626560425,4.251276811103807,-1.0,22.388699668768325,0.0,
extended_body108_momrisk020_riskall_1.25,extended,84.2875640741706,True,True,79.70892982012523,46.0,5.5771476208265796,3.966838629511396,53.657392965396525,43.0,2.7277402103104764,6.205057245229898,13.05396344931728,1.0,19.91789404613985,4.0,
combo_body108_momentum_risk_b_0.02,combo,83.18612486640667,True,True,80.09024633843347,44.0,8.400901417567715,3.846207393448526,53.57783398259704,41.0,3.020670886381628,5.788260521795899,13.435279967625519,-1.0,19.838335063340367,2.0,
extended_body1p1_momentum_risk_b_0.02,extended,83.18612486640667,True,True,69.75588368976817,46.0,4.588101220675864,4.880945450062579,53.57783398259704,41.0,3.020670886381628,5.788260521795899,3.1009173189602137,1.0,19.838335063340367,2.0,
extended_body1p12_momentum_risk_b_0.02,extended,83.18612486640667,True,True,76.1017095432744,48.0,5.061045924663417,5.7942315073132775,53.57783398259704,41.0,3.020670886381628,5.788260521795899,9.44674317246644,3.0,19.838335063340367,2.0,
extended_body108_scorea250_breakbody0715_momrisk020_riskall_1.3,extended,70.30661545385605,True,True,80.62751782271135,46.0,5.805663816934194,3.901403566703282,50.26166827831534,42.0,2.5726570327550395,6.003107117219703,13.9725514519034,1.0,16.522169359058665,3.0,
extended_body108_scorea250_breakbody0715_riskall_1.45,extended,65.18005922976393,True,True,75.04021781681918,46.0,5.968470806609617,3.901403566703282,48.85971438032913,42.0,2.712126847813356,5.521847749366985,8.385251446011225,1.0,15.120215461072455,3.0,
extended_body108_scorea250_breakbody0715_riskall_1.4,extended,62.811010670946914,True,True,73.78624361928698,46.0,6.01578975255237,3.901403566703282,48.242251586993405,42.0,2.7496577180615804,5.366676749628214,7.131277248479023,1.0,14.502752667736729,3.0,
